Algorithm ,Input Size ,Threads ,Jalapeno runtime ,Home runtime   ,Radish runtime
bbp       ,      2500 ,      2 ,     0.0172493   ,   0.0129975   ,   0.00690655
bbp       ,      2500 ,      4 ,     0.0118025   ,   0.0113909   ,   0.00479517
bbp       ,      2500 ,      8 ,     0.01087     ,   0.095111    ,   0.00627546
bbp       ,      2500 ,     16 ,     0.0272565   ,   0.388116    ,   0.0539933
bbp       ,      2500 ,     32 ,                 ,  12.8883      ,    
bbs       ,      2500 ,      1 ,     0.0458337   ,   0.0242254   ,   0.0165815
msp       ,      2500 ,      2 ,     0.000771051 ,   0.00136001  ,   0.000344823
msp       ,      2500 ,      4 ,     0.000745344 ,   0.00123862  ,   0.000327384
msp       ,      2500 ,      8 ,     0.000713117 ,   0.00109405  ,   0.000454566
msp       ,      2500 ,     16 ,     0.00243092  ,   0.00144139  ,   0.000519465
msp       ,      2500 ,     32 ,                 ,   0.0679261   ,    
mss       ,      2500 ,      1 ,     0.000720728 ,   0.00110123  ,   0.000379629
qsp       ,      2500 ,      2 ,     0.000493939 ,   0.000860252 ,   0.000267943
qsp       ,      2500 ,      4 ,     0.000500184 ,   0.0124749   ,   0.000242364
qsp       ,      2500 ,      8 ,     0.000910728 ,   0.00104242  ,   0.000323215
qsp       ,      2500 ,     16 ,     0.00271971  ,   0.00117295  ,   0.000490456
qsp       ,      2500 ,     32 ,                 ,   0.0695447   ,    
qss       ,      2500 ,      1 ,     0.000471178 ,   0.000494449 ,   0.000225936
reference ,      2500 ,      1 ,     0.000508425 ,   0.000739317 ,   0.000291256
bbp       ,      5000 ,      2 ,     0.0568272   ,   0.0373644   ,   0.0236448
bbp       ,      5000 ,      4 ,     0.0381418   ,   0.110593    ,   0.0155191
bbp       ,      5000 ,      8 ,     0.034411    ,   0.379394    ,   0.0147518
bbp       ,      5000 ,     16 ,     0.0303944   ,   0.893084    ,   0.11326
bbp       ,      5000 ,     32 ,                 ,  33.887       ,    
bbs       ,      5000 ,      1 ,     0.183088    ,   0.199384    ,   0.0721807
msp       ,      5000 ,      2 ,     0.0012874   ,   0.0708986   ,   0.000545762
msp       ,      5000 ,      4 ,     0.00113535  ,   0.00190568  ,   0.000541375
msp       ,      5000 ,      8 ,     0.00115566  ,   0.00176582  ,   0.00126659
msp       ,      5000 ,     16 ,     0.00276221  ,   0.0644436   ,   0.000657665
msp       ,      5000 ,     32 ,                 ,   0.187842    ,    
mss       ,      5000 ,      1 ,     0.00152939  ,   0.00224265  ,   0.000778883
qsp       ,      5000 ,      2 ,     0.000821843 ,   0.00169298  ,   0.00040294
qsp       ,      5000 ,      4 ,     0.000826988 ,   0.00152425  ,   0.000437078
qsp       ,      5000 ,      8 ,     0.00111768  ,   0.00130251  ,   0.00192918
qsp       ,      5000 ,     16 ,     0.00319025  ,   0.0511099   ,   0.000597923
qsp       ,      5000 ,     32 ,                 ,   0.0882812   ,    
qss       ,      5000 ,      1 ,     0.00102652  ,   0.00222855  ,   0.000541628
reference ,      5000 ,      1 ,     0.00110389  ,   0.00122577  ,   0.000656591
bbp       ,      7500 ,      2 ,     0.126592    ,   0.177057    ,   0.0517245
bbp       ,      7500 ,      4 ,     0.0972334   ,   0.466433    ,   0.0309969
bbp       ,      7500 ,      8 ,     0.0705629   ,   0.676358    ,   0.0317523
bbp       ,      7500 ,     16 ,     0.0586409   ,   1.18905     ,   0.179957
bbp       ,      7500 ,     32 ,                 ,  37.9891      ,    
bbs       ,      7500 ,      1 ,     0.411864    ,   0.3359      ,   0.171432
msp       ,      7500 ,      2 ,     0.00179924  ,   0.0777463   ,   0.000810599
msp       ,      7500 ,      4 ,     0.00158287  ,   0.00291536  ,   0.000782746
msp       ,      7500 ,      8 ,     0.00166338  ,   0.00251588  ,   0.000969289
msp       ,      7500 ,     16 ,     0.00526227  ,   0.059828    ,   0.000856772
msp       ,      7500 ,     32 ,                 ,   0.388268    ,    
mss       ,      7500 ,      1 ,     0.00235917  ,   0.00341546  ,   0.00117605
qsp       ,      7500 ,      2 ,     0.00142747  ,   0.00165864  ,   0.000717869
qsp       ,      7500 ,      4 ,     0.00125235  ,   0.00181901  ,   0.000679135
qsp       ,      7500 ,      8 ,     0.00182383  ,   0.00222973  ,   0.000821601
qsp       ,      7500 ,     16 ,     0.0033175   ,   0.0575526   ,   0.000848925
qsp       ,      7500 ,     32 ,                 ,   0.0895437   ,    
qss       ,      7500 ,      1 ,     0.00163533  ,   0.00167584  ,   0.000812356
reference ,      7500 ,      1 ,     0.00175775  ,   0.00248383  ,   0.00102979
bbp       ,     10000 ,      2 ,     0.223393    ,   0.454352    ,   0.0920558
bbp       ,     10000 ,      4 ,     0.132308    ,   0.774897    ,   0.0517178
bbp       ,     10000 ,      8 ,     0.0993411   ,   0.991285    ,   0.0495151
bbp       ,     10000 ,     16 ,     0.0900266   ,   2.09235     ,   0.252189
bbp       ,     10000 ,     32 ,                 ,  66.6967      ,    
bbs       ,     10000 ,      1 ,     0.735084    ,   0.537686    ,   0.317959
msp       ,     10000 ,      2 ,     0.00239441  ,   0.0738607   ,   0.00116295
msp       ,     10000 ,      4 ,     0.00206815  ,   0.00307235  ,   0.00106822
msp       ,     10000 ,      8 ,     0.0021388   ,   0.00255417  ,   0.00115715
msp       ,     10000 ,     16 ,     0.00542976  ,   0.059151    ,   0.000978682
msp       ,     10000 ,     32 ,                 ,   0.290214    ,    
mss       ,     10000 ,      1 ,     0.00333448  ,   0.00458198  ,   0.00159687
qsp       ,     10000 ,      2 ,     0.00153299  ,   0.00377551  ,   0.000827635
qsp       ,     10000 ,      4 ,     0.00162288  ,   0.00189491  ,   0.000787182
qsp       ,     10000 ,      8 ,     0.0018201   ,   0.00166017  ,   0.00087029
qsp       ,     10000 ,     16 ,     0.00324177  ,   0.0620784   ,   0.000941209
qsp       ,     10000 ,     32 ,                 ,   0.0886985   ,    
qss       ,     10000 ,      1 ,     0.00220643  ,   0.00179064  ,   0.00109059
reference ,     10000 ,      1 ,     0.00235964  ,   0.00264003  ,   0.00139155
bbp       ,     25000 ,      2 ,     1.34604     ,   4.13822     ,   0.608013
bbp       ,     25000 ,      4 ,     0.746406    ,   5.17191     ,   0.352009
bbp       ,     25000 ,      8 ,     0.504165    ,   5.29141     ,   0.304062
bbp       ,     25000 ,     16 ,     0.417728    ,   7.09818     ,   0.863722
bbp       ,     25000 ,     32 ,                 , 183.184       ,    
bbs       ,     25000 ,      1 ,     4.59082     ,   3.05046     ,   2.13324
msp       ,     25000 ,      2 ,     0.00560587  ,   0.00845422  ,   0.00269624
msp       ,     25000 ,      4 ,     0.00488235  ,   0.00693548  ,   0.00250182
msp       ,     25000 ,      8 ,     0.00383282  ,   0.0495988   ,   0.00276081
msp       ,     25000 ,     16 ,     0.00472906  ,   0.0883322   ,   0.00185269
msp       ,     25000 ,     32 ,                 ,   0.984837    ,    
mss       ,     25000 ,      1 ,     0.00864739  ,   0.0828745   ,   0.00407548
qsp       ,     25000 ,      2 ,     0.00615892  ,   0.00692172  ,   0.00287496
qsp       ,     25000 ,      4 ,     0.00605646  ,   0.0067191   ,   0.00301298
qsp       ,     25000 ,      8 ,     0.00562373  ,   0.0560116   ,   0.00311456
qsp       ,     25000 ,     16 ,     0.00786868  ,   0.188524    ,   0.00301206
qsp       ,     25000 ,     32 ,                 ,   0.589064    ,    
qss       ,     25000 ,      1 ,     0.00661206  ,   0.074207    ,   0.0030919
reference ,     25000 ,      1 ,     0.00639595  ,   0.00708566  ,   0.00366835
bbp       ,     50000 ,      2 ,     5.2887      ,  17.8937      ,   2.48209
bbp       ,     50000 ,      4 ,     2.93083     ,  21.4896      ,   1.46073
bbp       ,     50000 ,      8 ,     1.74871     ,  19.2802      ,   1.23758
bbp       ,     50000 ,     16 ,     1.50546     ,  23.087       ,   2.58803
bbp       ,     50000 ,     32 ,                 , 489.488       ,    
bbs       ,     50000 ,      1 ,    18.4753      ,  12.3875      ,   8.92331
msp       ,     50000 ,      2 ,     0.0116003   ,   0.0156956   ,   0.00558099
msp       ,     50000 ,      4 ,     0.0103361   ,   0.0540862   ,   0.00473179
msp       ,     50000 ,      8 ,     0.00770119  ,   0.0859287   ,   0.00521644
msp       ,     50000 ,     16 ,     0.00835251  ,   0.186544    ,   0.00381274
msp       ,     50000 ,     32 ,                 ,   0.98913     ,    
mss       ,     50000 ,      1 ,     0.0181051   ,   0.093076    ,   0.00858607
qsp       ,     50000 ,      2 ,     0.00892374  ,   0.00976731  ,   0.00434721
qsp       ,     50000 ,      4 ,     0.00932625  ,   0.045906    ,   0.00455333
qsp       ,     50000 ,      8 ,     0.00659042  ,   0.0852508   ,   0.00362559
qsp       ,     50000 ,     16 ,     0.00870962  ,   0.190968    ,   0.00379676
qsp       ,     50000 ,     32 ,                 ,   0.186681    ,    
qss       ,     50000 ,      1 ,     0.0130481   ,   0.0924831   ,   0.00619686
reference ,     50000 ,      1 ,     0.013633    ,   0.015115    ,   0.00757411
bbp       ,     75000 ,      2 ,    11.8482      ,  41.2294      ,   5.66296
bbp       ,     75000 ,      4 ,     6.43675     ,  49.7649      ,   3.34098
bbp       ,     75000 ,      8 ,     3.75931     ,  54.5879      ,   2.81056
bbp       ,     75000 ,     16 ,     3.27656     ,  54.1894      ,   5.0847
bbp       ,     75000 ,     32 ,                 ,1029.69        ,    
bbs       ,     75000 ,      1 ,    41.4938      ,  28.4667      ,  20.2118
msp       ,     75000 ,      2 ,     0.0181073   ,   0.0232808   ,   0.0087174
msp       ,     75000 ,      4 ,     0.01449     ,   0.018189    ,   0.00764456
msp       ,     75000 ,      8 ,     0.0108456   ,   0.261364    ,   0.00813265
msp       ,     75000 ,     16 ,     0.0121461   ,   0.288639    ,   0.00532836
msp       ,     75000 ,     32 ,                 ,   0.495742    ,    
mss       ,     75000 ,      1 ,     0.0281592   ,   0.112338    ,   0.0134065
qsp       ,     75000 ,      2 ,     0.0130252   ,   0.0145006   ,   0.00635199
qsp       ,     75000 ,      4 ,     0.0106209   ,   0.04213     ,   0.00537676
qsp       ,     75000 ,      8 ,     0.00947529  ,   0.0893396   ,   0.00563716
qsp       ,     75000 ,     16 ,     0.0124893   ,   0.197435    ,   0.00562377
qsp       ,     75000 ,     32 ,                 ,   0.683608    ,    
qss       ,     75000 ,      1 ,     0.0201009   ,   0.0180219   ,   0.00956455
reference ,     75000 ,      1 ,     0.0212675   ,   0.109495    ,   0.0118861
bbp       ,    100000 ,      2 ,    21.0185      ,  74.3842      ,  10.1931
bbp       ,    100000 ,      4 ,    11.4949      ,  87.6812      ,   5.9994
bbp       ,    100000 ,      8 ,     6.58335     ,  97.7738      ,   5.07845
bbp       ,    100000 ,     16 ,     5.73617     , 101.587       ,   8.26164
bbp       ,    100000 ,     32 ,                 ,1601.59        ,    
bbs       ,    100000 ,      1 ,    73.9571      ,  53.3973      ,  36.0667
msp       ,    100000 ,      2 ,     0.0245266   ,   0.0591298   ,   0.0115471
msp       ,    100000 ,      4 ,     0.0206037   ,   0.167386    ,   0.0100565
msp       ,    100000 ,      8 ,     0.0147127   ,   0.1798      ,   0.00936668
msp       ,    100000 ,     16 ,     0.0145231   ,   0.379575    ,   0.00721517
msp       ,    100000 ,     32 ,                 ,   1.08362     ,    
mss       ,    100000 ,      1 ,     0.0379539   ,   0.0417721   ,   0.0182028
qsp       ,    100000 ,      2 ,     0.0217608   ,   0.0329949   ,   0.010542
qsp       ,    100000 ,      4 ,     0.0199388   ,   0.0917415   ,   0.00972556
qsp       ,    100000 ,      8 ,     0.0166395   ,   0.266933    ,   0.0100096
qsp       ,    100000 ,     16 ,     0.0187177   ,   0.387558    ,   0.00891444
qsp       ,    100000 ,     32 ,                 ,   1.18538     ,    
qss       ,    100000 ,      1 ,     0.0275716   ,   0.0236461   ,   0.0131422
reference ,    100000 ,      1 ,     0.0291456   ,   0.126056    ,   0.0162241
bbp       ,    250000 ,      2 ,   131.013       , 461.262       ,  63.7981
bbp       ,    250000 ,      4 ,    71.1638      , 574.463       ,  38.3328
bbp       ,    250000 ,      8 ,    39.6639      , 653.473       ,  32.4496
bbp       ,    250000 ,     16 ,    34.9606      , 309.979       ,  44.2547
bbs       ,    250000 ,      1 ,   461.141       , 317.318       , 225.337
msp       ,    250000 ,      2 ,     0.0628086   ,   0.160493    ,   0.0303997
msp       ,    250000 ,      4 ,     0.0527584   ,   0.197085    ,   0.0251476
msp       ,    250000 ,      8 ,     0.0356839   ,   0.385079    ,   0.0230727
msp       ,    250000 ,     16 ,     0.0355015   ,   0.68523     ,   0.0172605
msp       ,    250000 ,     32 ,                 ,   1.1866      ,    
mss       ,    250000 ,      1 ,     0.102863    ,   0.215801    ,   0.048623
qsp       ,    250000 ,      2 ,     0.0486662   ,   0.0748127   ,   0.0232047
qsp       ,    250000 ,      4 ,     0.0486332   ,   0.358538    ,   0.0241462
qsp       ,    250000 ,      8 ,     0.0462569   ,   0.497582    ,   0.0217767
qsp       ,    250000 ,     16 ,     0.048729    ,   0.917513    ,   0.0216274
qsp       ,    250000 ,     32 ,                 ,   2.24527     ,    
qss       ,    250000 ,      1 ,     0.0747328   ,   0.0684269   ,   0.0353153
reference ,    250000 ,      1 ,     0.0775711   ,               ,   0.0434643
bbp       ,    500000 ,      2 ,   522.055       ,               , 254.529
bbp       ,    500000 ,      4 ,   281.462       ,               , 153.443
bbp       ,    500000 ,      8 ,   157.701       ,               , 129.328
bbp       ,    500000 ,     16 ,   138.403       ,               , 177.247
bbs       ,    500000 ,      1 ,  1848.57        ,               , 899.6
msp       ,    500000 ,      2 ,     0.129405    ,               ,   0.0637915
msp       ,    500000 ,      4 ,     0.107879    ,               ,   0.0528624
msp       ,    500000 ,      8 ,     0.0822896   ,               ,   0.0468905
msp       ,    500000 ,     16 ,     0.0657846   ,               ,   0.0337286
mss       ,    500000 ,      1 ,     0.211979    ,               ,   0.101301
qsp       ,    500000 ,      2 ,     0.130914    ,               ,   0.0622585
qsp       ,    500000 ,      4 ,     0.0980027   ,               ,   0.047573
qsp       ,    500000 ,      8 ,     0.09304     ,               ,   0.0472996
qsp       ,    500000 ,     16 ,     0.0948459   ,               ,   0.0440344
qss       ,    500000 ,      1 ,     0.160284    ,               ,   0.0751621
reference ,    500000 ,      1 ,     0.163373    ,               ,   0.0912468